Starting: 08-Feb-2019 09:27:40

	L =  80, 10-Feb-2019 15:20:40
	L =  85, 10-Feb-2019 16:22:50
	L =  90, 10-Feb-2019 17:23:48
	L =  95, 10-Feb-2019 18:00:52
	L = 100, 10-Feb-2019 19:01:29
K =   7, 10-Feb-2019 19:57:56
Elapsed: 2.106163e+05 [s]
	L =   5, 10-Feb-2019 19:57:56
	L =  10, 10-Feb-2019 19:58:00
	L =  15, 10-Feb-2019 19:58:12
	L =  20, 10-Feb-2019 20:11:02
	L =  25, 10-Feb-2019 20:15:10
	L =  30, 10-Feb-2019 20:45:44
	L =  35, 10-Feb-2019 20:50:54
	L =  40, 10-Feb-2019 20:58:43
	L =  45, 10-Feb-2019 21:05:59
	L =  50, 10-Feb-2019 21:39:27
	L =  55, 10-Feb-2019 22:22:18
	L =  60, 10-Feb-2019 23:22:46
	L =  65, 11-Feb-2019 00:23:26
	L =  70, 11-Feb-2019 01:24:31
	L =  75, 11-Feb-2019 02:25:05
	L =  80, 11-Feb-2019 03:26:18
	L =  85, 11-Feb-2019 04:26:49
	L =  90, 11-Feb-2019 05:27:57
	L =  95, 11-Feb-2019 06:32:58
	L = 100, 11-Feb-2019 07:35:04
K =   8, 11-Feb-2019 08:36:00
Elapsed: 2.561004e+05 [s]
	L =   5, 11-Feb-2019 08:36:00
	L =  10, 11-Feb-2019 08:36:04
	L =  15, 11-Feb-2019 08:36:28
	L =  20, 11-Feb-2019 08:37:44
	L =  25, 11-Feb-2019 09:02:14
	L =  30, 11-Feb-2019 09:05:51
	L =  35, 11-Feb-2019 09:36:41
	L =  40, 11-Feb-2019 10:12:26
	L =  45, 11-Feb-2019 10:26:29
	L =  50, 11-Feb-2019 10:39:57
	L =  55, 11-Feb-2019 10:55:19
	L =  60, 11-Feb-2019 11:20:52
	L =  65, 11-Feb-2019 12:21:38
	L =  70, 11-Feb-2019 13:02:56
	L =  75, 11-Feb-2019 14:03:52
	L =  80, 11-Feb-2019 15:05:09
	L =  85, 11-Feb-2019 16:07:07
	L =  90, 11-Feb-2019 16:59:24
	L =  95, 11-Feb-2019 17:59:51
	L = 100, 11-Feb-2019 18:39:51
K =   9, 11-Feb-2019 19:27:07
Elapsed: 2.951677e+05 [s]
	L =   5, 11-Feb-2019 19:27:07
	L =  10, 11-Feb-2019 19:27:12
	L =  15, 11-Feb-2019 19:27:42
	L =  20, 11-Feb-2019 19:28:45
	L =  25, 11-Feb-2019 20:11:40
	L =  30, 11-Feb-2019 20:54:28
	L =  35, 11-Feb-2019 21:02:12
	L =  40, 11-Feb-2019 21:11:18
	L =  45, 11-Feb-2019 21:27:42
	L =  50, 11-Feb-2019 21:46:45
	L =  55, 11-Feb-2019 22:03:47
	L =  60, 11-Feb-2019 22:34:58
	L =  65, 11-Feb-2019 23:10:03
	L =  70, 11-Feb-2019 23:46:22
	L =  75, 12-Feb-2019 00:46:48
	L =  80, 12-Feb-2019 01:27:59
	L =  85, 12-Feb-2019 02:28:56
	L =  90, 12-Feb-2019 03:30:12
	L =  95, 12-Feb-2019 04:32:11
	L = 100, 12-Feb-2019 05:30:18
K =  10, 12-Feb-2019 06:32:38
Elapsed: 3.350987e+05 [s]
	L =   5, 12-Feb-2019 06:32:38
	L =  10, 12-Feb-2019 06:32:59
	L =  15, 12-Feb-2019 06:33:48
	L =  20, 12-Feb-2019 06:38:37
	L =  25, 12-Feb-2019 07:00:53
	L =  30, 12-Feb-2019 08:00:35
	L =  35, 12-Feb-2019 08:35:23
	L =  40, 12-Feb-2019 09:10:57
	L =  45, 12-Feb-2019 09:27:05
	L =  50, 12-Feb-2019 09:50:36
	L =  55, 12-Feb-2019 10:19:32
	L =  60, 12-Feb-2019 10:40:59
	L =  65, 12-Feb-2019 11:15:23
	L =  70, 12-Feb-2019 11:50:03
	L =  75, 12-Feb-2019 12:26:44
	L =  80, 12-Feb-2019 13:03:22
	L =  85, 12-Feb-2019 13:42:19
	L =  90, 12-Feb-2019 14:43:10
	L =  95, 12-Feb-2019 15:44:04
	L = 100, 12-Feb-2019 16:46:12
Ending: 12-Feb-2019 17:47:17

Elapsed: 3.755773e+05 [s]
